day,bw,cow
20220627,484,4688
20220627,406,4690
20220627,354,4691
20220627,416,4687
20220627,428,4698
20220726,618,4685
20220726,572,4689
20220726,454,4692
20220726,486,4696
20220726,494,4697
20220726,462,4706
20220726,604,4688
20220726,484,4690
20220726,436,4691
20220726,524,4687
20220726,518,4698
20220726,546,4710
20220822,720,4685
20220822,664,4689
20220822,534,4692
20220822,604,4696
20220822,590,4697
20220822,576,4706
20220822,686,4688
20220822,564,4690
20220822,500,4691
20220822,606,4687
20220822,610,4698
20220822,630,4710
20220922,844,4685
20220922,754,4689
20220922,642,4692
20220922,684,4696
20220922,650,4697
20220922,672,4706
20220922,828,4688
20220922,664,4690
20220922,604,4691
20220922,714,4687
20220922,738,4698
20220922,730,4710
20221014,950,4685
20221014,850,4689
20221014,758,4692
20221014,776,4696
20221014,764,4697
20221014,796,4706
20221014,920,4688
20221014,772,4690
20221014,708,4691
20221014,796,4687
20221014,850,4698
20221014,836,4710
20221123,1150,4685
20221123,1050,4689
20221123,948,4692
20221123,944,4696
20221123,928,4697
20221123,1022,4706
20221123,1110,4688
20221123,952,4690
20221123,894,4691
20221123,962,4687
20221123,1062,4698
20221123,1032,4710
20221216,1228,4685
20221216,1112,4689
20221216,1006,4692
20221216,998,4696
20221216,986,4697
20221216,1084,4706
20221216,1146,4688
20221216,1036,4690
20221216,962,4691
20221216,1002,4687
20221216,1134,4698
20221216,1114,4710
20230113,1348,4685
20230113,1242,4689
20230113,1130,4692
20230113,1094,4696
20230113,1070,4697
20230113,1178,4706
20230113,1284,4688
20230113,1132,4690
20230113,1066,4691
20230113,1072,4687
20230113,1230,4698
20230113,1200,4710
